,genrm_deepscaler,genrm_math,genrm_orz,genrm_skywork
Random-Baseline,0.5583972719522592,0.634436593529193,0.6144905075552112,0.5395555555555556
DeepSeek-R1-Distill-Qwen-1.5B,0.8644207066557108,0.8727392305162776,0.8623724040830694,0.8192446043165468
DeepSeek-R1-Distill-Qwen-7B,0.9552691432903715,0.9671191553544495,0.9605688429217841,0.9225672877846791
Qwen2.5-1.5B-Instruct,0.9652596189764662,0.97395989224783,0.9705317104420244,0.91440329218107
Qwen2.5-7B-Instruct,0.9648127128263337,0.9747747747747748,0.9623621025308241,0.9270529387244685
Qwen2.5-Math-1.5B-Instruct,0.9647940074906367,0.9748653500897666,0.9649010848755584,0.9198380566801619
Qwen2.5-Math-7B-Instruct,0.9665035754610463,0.9738817172020414,0.9634422516984794,0.9213576158940397
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,0.932666410157753,0.9577635976906715,0.9639175257731959,0.9087136929460581
tiger-verifier,0.9780096906448006,0.9899408284023669,0.9867340492735313,0.9687750200160128
xVerify-0.5B-I,0.9599697885196374,0.9845880260818021,0.9774531597332486,0.9286898839137645
xVerify-3B-Ia,0.9602122015915119,0.9926231926822071,0.978628389154705,0.955810147299509
