,genrm_deepscaler,genrm_math,genrm_orz,genrm_skywork
Random-Baseline,0.5583972719522592,0.6344365935291929,0.6144905075552111,0.5395555555555555
DeepSeek-R1-Distill-Qwen-1.5B,0.8644207066557108,0.8727392305162776,0.8623724040830694,0.8192446043165468
DeepSeek-R1-Distill-Qwen-7B,0.9552691432903715,0.9671191553544495,0.9605688429217841,0.9225672877846791
Qwen2.5-1.5B-Instruct,0.9652596189764663,0.9739598922478299,0.9705317104420245,0.9144032921810701
Qwen2.5-7B-Instruct,0.9648127128263339,0.9747747747747748,0.9623621025308241,0.9270529387244686
Qwen2.5-Math-1.5B-Instruct,0.9647940074906366,0.9748653500897665,0.9649010848755584,0.9198380566801618
Qwen2.5-Math-7B-Instruct,0.9665035754610463,0.9738817172020414,0.9634422516984795,0.9213576158940397
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,0.9326664101577531,0.9577635976906714,0.963917525773196,0.9087136929460581
tiger-verifier,0.9780096906448005,0.989940828402367,0.9867340492735313,0.9687750200160128
xVerify-0.5B-I,0.9599697885196374,0.984588026081802,0.9774531597332486,0.9286898839137645
xVerify-3B-Ia,0.9602122015915119,0.9926231926822071,0.978628389154705,0.9558101472995091
