,genrm_deepscaler,genrm_math,genrm_orz,genrm_skywork
Random-Baseline,0.5180279617365711,0.4988249118683901,0.5025094102885822,0.5193982581155978
DeepSeek-R1-Distill-Qwen-1.5B,0.22590139808682855,0.22032902467685075,0.2314930991217064,0.278701504354711
DeepSeek-R1-Distill-Qwen-7B,0.0728476821192053,0.058166862514688604,0.06775407779171895,0.11797307996832937
Qwen2.5-1.5B-Instruct,0.049300956585724795,0.04406580493537015,0.04956085319949812,0.12034837688044339
Qwen2.5-7B-Instruct,0.06181015452538632,0.046415981198589897,0.06963613550815559,0.11955661124307206
Qwen2.5-Math-1.5B-Instruct,0.05224429727740986,0.04289071680376028,0.05144291091593475,0.10055423594615993
Qwen2.5-Math-7B-Instruct,0.05518763796909492,0.04700352526439483,0.06587202007528231,0.1187648456057007
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,0.10816777041942605,0.07403055229142186,0.06148055207026349,0.1330166270783848
tiger-verifier,0.034584253127299486,0.017038777908343124,0.020075282308657464,0.04196357878068092
xVerify-0.5B-I,0.06475349521707138,0.02408930669800235,0.03450439146800502,0.11322248614410134
xVerify-3B-Ia,0.06769683590875644,0.011750881316098707,0.037641154328732745,0.07521773555027712
