,genrm_deepscaler,genrm_math,genrm_orz,genrm_skywork
Random-Baseline,0.6636271529888551,0.8642350557244174,0.8034447821681864,0.6149949341438703
DeepSeek-R1-Distill-Qwen-1.5B,0.9786046511627907,0.9910380881254668,0.9823576583801122,0.9479708636836629
DeepSeek-R1-Distill-Qwen-7B,0.9851446442533229,0.9938003719776813,0.9906666666666667,0.9670138888888888
Qwen2.5-1.5B-Instruct,0.9802731411229135,0.9926784624771202,0.9914921465968587,0.9520137103684662
Qwen2.5-7B-Instruct,0.9929906542056075,0.9969287469287469,0.9966397849462365,0.9788732394366197
Qwen2.5-Math-1.5B-Instruct,0.9824561403508771,0.9932926829268293,0.9818181818181818,0.9411764705882353
Qwen2.5-Math-7B-Instruct,0.9892141756548536,0.9957028852056476,0.9946559786239145,0.9653078924544666
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,0.9774193548387097,0.9918187539332913,0.990728476821192,0.9546643417611159
tiger-verifier,0.9909365558912386,0.9970202622169249,0.9936386768447837,0.979757085020243
xVerify-0.5B-I,0.9860356865787432,0.993421052631579,0.9897106109324759,0.9747606614447345
xVerify-3B-Ia,0.98984375,0.997036158861885,0.9954574951330305,0.9889923793395428
