,genrm_deepscaler,genrm_math,genrm_orz,genrm_skywork
Random-Baseline,0.481972038263429,0.5011750881316098,0.4974905897114178,0.4806017418844022
DeepSeek-R1-Distill-Qwen-1.5B,0.7740986019131715,0.7796709753231492,0.7685069008782937,0.721298495645289
DeepSeek-R1-Distill-Qwen-7B,0.9271523178807947,0.9418331374853114,0.9322459222082811,0.8820269200316706
Qwen2.5-1.5B-Instruct,0.9506990434142752,0.9559341950646298,0.9504391468005019,0.8796516231195566
Qwen2.5-7B-Instruct,0.9381898454746137,0.9535840188014101,0.9303638644918444,0.880443388756928
Qwen2.5-Math-1.5B-Instruct,0.9477557027225901,0.9571092831962397,0.9485570890840652,0.89944576405384
Qwen2.5-Math-7B-Instruct,0.9448123620309051,0.9529964747356052,0.9341279799247177,0.8812351543942993
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,0.891832229580574,0.9259694477085781,0.9385194479297365,0.8669833729216152
tiger-verifier,0.9654157468727005,0.9829612220916569,0.9799247176913425,0.9580364212193191
xVerify-0.5B-I,0.9352465047829286,0.9759106933019976,0.965495608531995,0.8867775138558986
xVerify-3B-Ia,0.9323031640912436,0.9882491186839013,0.9623588456712673,0.9247822644497229
