K,Base,Rule-Based,R1-Qwen-1.5B
1,5.2,19.5,20.2
2,8.8,24.0,25.5
3,11.5,26.7,28.2
4,13.6,28.6,30.1
5,15.4,30.2,31.7
8,19.3,33.9,35.3
10,21.2,35.9,37.1
16,25.5,40.5,41.2
20,27.7,42.8,43.1
32,32.4,47.8,46.8
40,34.8,50.1,48.4
50,37.3,52.3,49.9
64,40.2,54.6,51.5
100,45.4,58.4,54.3
128,48.4,60.3,55.6
200,53.6,63.7,57.9
256,56.5,65.5,59.1
300,58.4,66.6,59.9
350,60.2,67.7,60.7
400,61.7,68.6,61.4
450,63.1,69.3,62.0
512,64.6,70.1,62.7
600,66.5,71.0,63.6
700,68.4,71.8,64.4
800,70.1,72.4,65.2
900,71.6,72.9,65.9
1024,73.3,73.3,66.7
